Year,Event ID,Event Name,Player Name,Round,Score,SG Total,Driving Distance,GIR,Scrambling
2019,,The Masters,"Wallace, Matt",1,74,-0.282,308.0,0.444,0.667
2019,,The Masters,"Wallace, Matt",2,74,-0.213,306.3,0.556,0.714
2019,,The Masters,"Munoz, Sebastian",1,71,2.718,295.0,0.389,0.833
2019,,The Masters,"Munoz, Sebastian",2,77,-3.213,294.3,0.611,0.286
2019,,The Masters,"Higgo, Garrick",1,76,-2.282,309.5,0.556,0.182
2019,,The Masters,"Higgo, Garrick",2,72,1.787,317.6,0.667,0.625
2019,,The Masters,"Osborne, Ollie",1,76,-2.282,323.8,0.556,0.273
2019,,The Masters,"Osborne, Ollie",2,72,1.787,317.3,0.611,0.667
2019,,The Masters,"Ralston, Spencer",1,75,-1.282,291.0,0.389,0.545
2019,,The Masters,"Ralston, Spencer",2,73,0.787,298.4,0.389,0.538
2019,,The Masters,"Horschel, Billy",1,74,-0.282,297.4,0.667,0.5
2019,,The Masters,"Horschel, Billy",2,75,-1.213,304.4,0.556,0.417
2019,,The Masters,"Todd, Brendon",1,78,-4.282,273.8,0.333,0.364
2019,,The Masters,"Todd, Brendon",2,71,2.787,274.0,0.611,0.667
2019,,The Masters,"Sucher, Zack",1,75,-1.282,288.2,0.444,0.667
2019,,The Masters,"Sucher, Zack",2,74,-0.213,295.6,0.611,0.571
2019,,The Masters,"Johnson, Michael",1,74,-0.282,304.8,0.556,0.727
2019,,The Masters,"Johnson, Michael",2,75,-1.213,302.1,0.556,0.636
2019,,The Masters,"Homa, Max",1,76,-2.282,293.3,0.611,0.625
2019,,The Masters,"Homa, Max",2,73,0.787,298.7,0.556,0.455
2019,,The Masters,"Smith, Jordan L",1,77,-3.282,310.3,0.389,0.583
